,loss,dice_coef,hard_dice_coef,val_loss,val_dice_coef,val_hard_dice_coef,time
0,0.7697753704936299,0.3610781131201232,0.35557870912236095,0.6964317361513773,0.37230067593710764,0.3703331791219257,6.790254831314087
1,0.7009914489771356,0.36972924928791473,0.38117090439954343,0.6572707153501964,0.3955279638369878,0.4369944901693435,6.787732362747192
2,0.6371799269259371,0.3895984264399042,0.4319322614480328,0.59187441496622,0.43918698174612864,0.5240143140157064,6.8135085105896
3,0.5759728629857499,0.41724385962581,0.490465577864489,0.529122994059608,0.4761135691688174,0.5878251620701381,6.816943407058716
4,0.5271625463536244,0.444160497741194,0.5389862676329961,0.4898865875743684,0.5063928961753845,0.6312114624750047,6.828708648681641
5,0.49348641823459144,0.46183558805099384,0.5679475937458064,0.44844622129485723,0.5197607307207017,0.6606050218854632,6.79829478263855
6,0.4720582442962571,0.4752058248646212,0.5857607710440427,0.43176294082687017,0.5311136997881389,0.6751829669589088,6.793278455734253
7,0.45553257469309877,0.48610624809138825,0.6004917290037042,0.41675494114557904,0.5407989479246593,0.6863459008080619,6.776864051818848
8,0.4443049993341332,0.49535401214826974,0.6113812133965902,0.40454183731760296,0.5496041604450771,0.6949896698906308,6.783653497695923
9,0.43096290420222755,0.5052488339657815,0.6220509200696124,0.40054487756320406,0.5574978462287358,0.6995947559674581,6.838973522186279
10,0.42338536768559587,0.5114570335047135,0.628396119502996,0.39076576062611174,0.565721162727901,0.7045664077713376,6.797962188720703
11,0.41462543488338294,0.5180136352185382,0.6349501846641894,0.36962385404677617,0.5677777358463832,0.7137077507518587,6.8075947761535645
12,0.4107102524760543,0.5244155553792487,0.6395194238384828,0.3758302628993988,0.5739544488134838,0.7091694105239141,6.818978309631348
13,0.4058455118280373,0.5301919093984642,0.645545300268969,0.36731069144748507,0.5844923030762446,0.7176734095528012,6.783719778060913
14,0.3990037251781944,0.5351020863514073,0.649904105836982,0.3479603869574411,0.5895233154296875,0.728182281766619,6.780766487121582
15,0.3959855228070392,0.5391083016300833,0.6522375432071307,0.3448308663708823,0.5947844840231395,0.7295700169744945,6.778910398483276
16,0.38798492298220955,0.5448783991352611,0.6595213097452328,0.3403130869070689,0.5975995375996545,0.7323626961026873,6.777850151062012
17,0.3825142979621887,0.5499394516281734,0.6625540003871286,0.34498197124117896,0.6015910875229609,0.7303948686236427,6.784714937210083
18,0.3819328388630949,0.554483672640971,0.6677368445112216,0.33741962625866845,0.605000839346931,0.7340246836344401,6.7881927490234375
19,0.3799976086774409,0.5552638721781851,0.6663960344744044,0.31567020359493436,0.6104491949081421,0.7492781395003909,6.8145997524261475
20,0.3752596198723016,0.5606174216365183,0.6711185815318531,0.3272428583531153,0.6116995371523357,0.7402898697626024,6.811058282852173
21,0.3722823907602702,0.5633599244995623,0.6743726256667384,0.32575395703315735,0.6148533991404942,0.742362896601359,6.809886693954468
22,0.3723442110399537,0.5651960578185833,0.6758372531031931,0.3267412455309005,0.6159967836879549,0.7405677891912914,6.791083097457886
23,0.3692107301279409,0.5675636127295084,0.677267567211429,0.3208923510142735,0.6176024306388128,0.7459575732549032,6.818987607955933
24,0.3640155332372678,0.5722615750420172,0.6832190096773059,0.3230207051549639,0.6207567425001235,0.7445319834209624,6.796103477478027
25,0.36285019907730304,0.5734414328013034,0.6846651565160183,0.3081652720769246,0.6265799914087568,0.7544182766051519,6.805864334106445
26,0.3603006729621761,0.576020985249652,0.6862440740825325,0.32683728564353215,0.627529209568387,0.7444315581094652,6.811365365982056
27,0.3591246944389596,0.5772387349842399,0.6862015045241804,0.303442976304463,0.6304833605175927,0.7590467816307431,6.812577247619629
28,0.3575554069699041,0.578730832662014,0.6871844774839894,0.3094130101658049,0.6301540760766893,0.7550070910226732,6.799828290939331
29,0.3576579285378488,0.5818838954761328,0.6903821253618657,0.3336480515343802,0.6298866726103283,0.7389391944521949,6.780109167098999
30,0.3580751419067383,0.579438763738468,0.6882629149796947,0.3011385230791001,0.6336801222392491,0.7597473008292062,6.810641050338745
31,0.35096921332624575,0.5839501311447447,0.6943693634690038,0.29697402176402865,0.6364620072501046,0.7637944959458851,6.779563903808594
32,0.3525103597056787,0.583356446777748,0.6922570253839556,0.29346437965120586,0.6360291923795428,0.7662199934323629,6.810464382171631
33,0.35454558714336115,0.5847729523450333,0.6925889095723234,0.303376643430619,0.6376191221532368,0.7586053070567903,6.8134026527404785
34,0.34915521800123306,0.5869710934872658,0.6959253083791165,0.29364857645261855,0.6405165450913566,0.7663684799557641,6.7916259765625
35,0.34861018661631654,0.5870193456182417,0.6940958105175701,0.2964091897010803,0.6390275018555778,0.7644399149077279,6.782823801040649
36,0.34758848188728686,0.5885917635153461,0.6952952438632384,0.295174309185573,0.6409135574386233,0.7654374156679425,6.784225940704346
37,0.34909691084299654,0.5885369446103936,0.6964139827829323,0.2937232440426236,0.6403344500632513,0.766471368925912,6.785270690917969
38,0.3459741311357511,0.5908014142750114,0.6967192951417127,0.29812111315273104,0.6428523517790294,0.7626579602559408,6.797878265380859
39,0.3395517523715038,0.592962504222693,0.7016115157020013,0.29708940926052274,0.6435843535831997,0.7639955679575602,6.80945086479187
40,0.3451121510654096,0.592818587821051,0.6994717610592873,0.2953204980918339,0.6428151442891076,0.7653858264287313,6.811051607131958
41,0.3434082484797926,0.5939942069401015,0.7004694843923809,0.293781802767799,0.6458828222183954,0.7650239751452491,6.796133041381836
42,0.3396811218845923,0.5950874003353498,0.7031396319534605,0.2973174140566871,0.6446672280629476,0.7636470737911406,6.825855255126953
43,0.3409833839002824,0.594485128952178,0.6991719978534623,0.2853423683416276,0.6469850568544298,0.7732661224546886,6.7961156368255615
44,0.336139008698874,0.5979178243914977,0.705769860981316,0.2935588714622316,0.647136200041998,0.7672526155199323,6.778248310089111
45,0.34060522341570315,0.5979082221226977,0.7058771651312216,0.2862044970194499,0.6474483098302569,0.7722945837747484,6.789804935455322
46,0.34053306449328036,0.5969624329876426,0.703159029120641,0.2832441258998144,0.6484893986157009,0.7744004953475225,6.80017352104187
47,0.33797061305172393,0.5992875714965215,0.7043692489333501,0.3014756611415318,0.6461879639398485,0.7601586438360668,6.9998297691345215
48,0.3391581108633256,0.598386481108255,0.7037453454061849,0.2896769110645567,0.6511256467728388,0.7702317635218302,6.8992297649383545
49,0.3374766440975745,0.5983989515051936,0.7038342810624483,0.28708719923382714,0.6506682180223011,0.7711511907123384,6.848807096481323
50,0.33331967663291273,0.5995716780226752,0.7067417245826974,0.2827063046750568,0.6516342106319609,0.7752308079174587,6.8155436515808105
51,0.3354506620902889,0.6002141371468045,0.7049119914604338,0.2809026709624699,0.6525045008886428,0.7765572241374424,6.880873441696167
52,0.33405680194595794,0.6021140142781845,0.7070689785559445,0.2897449774401529,0.6510212137585595,0.769817054271698,6.872605562210083
53,0.33071469964570555,0.6031711812050927,0.7095112295340229,0.28899763169742765,0.6546020564578828,0.7693923711776733,6.886465311050415
54,0.3301360924907078,0.6040486728908211,0.7091449885968341,0.2922444882847014,0.6527471315293085,0.7679730540230161,6.916541814804077
55,0.33237213725285814,0.6037054953985657,0.7095349245513511,0.27735407934302375,0.6561489672887892,0.7787886460622152,6.866119146347046
56,0.33174502948262047,0.604276991048396,0.7095979775814031,0.30027261802128385,0.6489229996999105,0.7618517705372402,6.943814754486084
57,0.335741399139758,0.6015872813218477,0.7054829771155553,0.2896228844211215,0.6507114143598647,0.7713942385855175,6.939264535903931
58,0.3295162953683083,0.6046064957877658,0.7103524034386439,0.2788475524811518,0.6567432539803642,0.7788979950405303,6.909836769104004
59,0.33253218184243766,0.6045368909835815,0.7095958570770869,0.28451144837197806,0.6550598087764922,0.7746809238479251,6.903802156448364
60,0.32808156104277303,0.6063228537704771,0.7119932869412252,0.2849590175208591,0.6570115089416504,0.7745600484666371,6.853694200515747
61,0.32548398075514284,0.6069751843711398,0.7131673137083748,0.2743053634961446,0.6590445495787121,0.7829260428746542,6.797991991043091
62,0.3269525701241777,0.6079330989067128,0.7140414446394965,0.2797449827194214,0.6578455680892581,0.7778222787947882,6.890833616256714
63,0.32662653054622626,0.6078377417381237,0.712739050783069,0.280609640337172,0.6591829402106149,0.7785558047748747,7.135178089141846
64,0.32968336402975174,0.6080916985770725,0.7127231051590269,0.2954045023236956,0.6542331775029501,0.7664101350875128,7.0923802852630615
65,0.32528776818553345,0.6082823821250966,0.7132433676561772,0.2757272195248377,0.659853974978129,0.7814955682981581,7.32264518737793
66,0.32781339954856215,0.609683883900674,0.7129196899616166,0.29790811027799335,0.6572278028442746,0.7651088180996123,7.135693788528442
67,0.32359560889913547,0.6085229093665319,0.7145924805015917,0.2782706760224842,0.6583347008341834,0.7815677949360439,6.923243999481201
68,0.32496192735552,0.6093247505213251,0.7143334600309662,0.2765212882132757,0.6580234368642172,0.7835136424927485,7.250462055206299
69,0.3250934177676573,0.6103821606036054,0.7143305074300198,0.29293341579891385,0.6575879880360195,0.7683339232490176,6.802862167358398
70,0.3249985350678299,0.6105676336793711,0.715427352892642,0.2767037167435601,0.6619828258241925,0.7812346447081793,6.878161430358887
71,0.32527787302503525,0.6107026488575714,0.7152647530006258,0.28206871095157804,0.6593708566256932,0.778321507431212,6.8233795166015625
72,0.32629882993287596,0.6105104866406775,0.7136158374761115,0.3017146431264423,0.6544206142425537,0.7636701663335165,6.811598062515259
73,0.3244874428044881,0.608795735220246,0.7135027497019989,0.2809178871767862,0.6593112207594372,0.7808855317887806,6.909671783447266
